Name_of_Th,UniqueID,Valley,Area,Latitude,Longitude,Ward_Numbe,Ward_Name,Ward_Couns,Ward_offic,Ward_Conta,Facebook,New_Custod,Custodian,Aream3
Krishnarajapuram kere,66,H,14.23,13.0180358024484,77.6969116721715,52,?��?�K R Puram,Smt. K Poornima,"#108, Channakeshava Nilaya, Siddappa Layout, Devasandra, K.R.Pura Bengaluru-560036",9886468169,https://www.facebook.com/pages/category/Community/Save-Lake-KR-Puram-Vengiah-Nalli-477165072857915/,,,158659.597579821944237
Venkateshapura lake,67,H,8.97,13.078262562955,77.6217944715045,5,Jakkuru,Sri Munindra Kumar K A,"# 208/1, Punyakoti Dairy Farm, Kogilu Grama, Yelahanka Post, Bengaluru-560064","9845752211, 9900288555",https://www.facebook.com/pages/category/Pond/Save-the-Venkteshpura-Lake-from-Encroachment-in-Chokkanahalli-291900181497236/,,,78876.467686774674803
Puttenahalli Lake,68,K,12.38,13.1138504999918,77.5789349301035,2,Chowdeswari Ward,Smt R Padmavathi Amarnath,"#3-126, Chowdeshwari layout, Manavarthi Estate, Yelahanka, Bengaluru-560064","96203 35035, 9845288774",https://www.facebook.com/YPLBCT/,,,115958.180569231306436
Bellihalli kere,70,H,4.58,13.1036691342902,77.641715433711,5,Jakkuru,Sri Munindra Kumar K A,"# 208/1, Punyakoti Dairy Farm, Kogilu Grama, Yelahanka Post, Bengaluru-560064","9845752211, 9900288555",,,,57562.759963703807443
Gunduru Lake,71,H,8.18,13.0021816532125,77.7029325102135,,,,,,,,,50326.869965203572065
Vijinapura kere2,75,H,1.56,13.0080415683451,77.6765572188273,55,Devasandra,Sri. M N Srikanth (Putta),"#208, 2nd Main road, Whitefield road, B. Narayanpur, Bengaluru-560016",9245033361,https://www.facebook.com/vijinapura.lake?fref=search&__tn__=%2Cd%2CP-R&eid=ARChRNh9TLqulLpulPPEvqYHq7LPyMdueg45mh29_OJNG1IcsGsuu2kHKi-HF1cuAv1SfYo44dEt7qOW,,,15840.320767787634395
Nagareshvara Nagenahalli Kere,81,K,2.27,13.0752252200498,77.6439995312392,25,Horamavu,Smt. Radhamma Venkatesh,"#67, Vrushabadri Nilaya, Kaverinagar, Vadaraplaya, Bengaluru-560043",9845010989,,,,23232.495486907660961
Atturu kere,82,H,31.15,13.1129979792574,77.55959919295211,3,Atturu,Smt.Nethrapallavi M,"#722, Shashwatha Nilaya, 7th cross A Sector, Yelahanka Upanagara, Bengaluru-560064",9880688949,,,,283984.224717019242235
Rampura Kere,83,H,65.02,13.046831256743,77.6803424432666,26,Ramamurthy Nagar,Smt. M Padmavathi Srinivas,"#246, Bireshwara Nilaya, Baktha Kanakadasa Road, Near Shiva Temple, Kalkere, Bengaluru-560043",9901 329918,,,,641890.675894803483970
Veerasagara kere,85,K,8.98,13.1011308866671,77.55715670096851,3,Atturu,Smt.Nethrapallavi M,"#722, Shashwatha Nilaya, 7th cross A Sector, Yelahanka Upanagara, Bengaluru-560064",9880688949,,,,81109.710430863604415
Avalahali kere,86,V,,13.035897269286,77.72395545908719,-na-,Outside BBMP limit,-na-,-na-,-na-,https://m.facebook.com/profile.php?id=1631466777080780&__tn__=%2As%2As-R,,,1475690.652436212403700
Agara kere,106,K,31.09,12.9234882092441,77.6402054917656,174,HSR Layout,Sri. Gurumurthy Reddy,"#E-62, Agara Village, HSR Layout, Bengaluru-560002",9945890672,"Save Agara Lake, Our Agara Lake",KLCDA,KSTDA,290233.550766706466675
Ambalipura Kelagina kere,107,K,3.12,12.9179689745711,77.6645471804237,150,Bellanduru,Sri. Asha Suresh,"#29, H A L Quarters, Centre Township, Bengaluru-560037",,"https://www.facebook.com/LowerAmbalipuraLake/about/,
 https://www.facebook.com/pages/category/Non-Governmental-Organization--NGO-/Mapsas-688495471330650/",BBMP,BBMP,24691.566056327428669
Melinakere,108,K,3.97,12.9124998239827,77.66227710921279,150,Bellanduru,Sri. Asha Suresh,"#29, H A L Quarters, Centre Township, Bengaluru-560037",,,BBMP,BBMP,37283.084010773338377
Arekere Govt. lake,109,K,7.76,12.8838198959468,77.5990087487818,193,Arakere,Smt. Bhagyalakshmi Murali,"#6, Arakere Village, IIM Post, Bannerugatta Road, Bengaluru-560076",9980668899,https://www.facebook.com/SaveArekereLake/,BDA,BDA,68982.218914297758602
B.Narayanapura kere,110,K,1.19,12.9973332146903,77.6825605733286,56,A Narayanapura,Sri. V Suresh,"#62, Near Mullkatamma Temple, K Narayanpura, Bengaluru-56",9980068194,https://www.facebook.com/pages/B-Narayanpura-Lake/2058362194453993?nr&nr_page_id=1577186779211043,BDA,BDA,11918.040462064556777
B. Channasandra lake,111,K,9.7,12.999914476603,77.66457437651511,50,Benniganahalli,Smt. Meenakshi,"#235/1, Krishna Kutira, 3rd Main Road, 3rd Block, Krishnaiyanapalaya, Bengaluru-38",9900677227,,,EN,88236.671290584839880
Kelaginakere,113,K,3.16,12.8685054709104,77.64475320033461,192,Begur,Sri M Anjinappa,"#14, 3rd Block, 6th Cross, Vishwapriya Nagar Layout, Begur, Bengaluru-560068",9972585844,https://www.facebook.com/Two-lakes-of-Basapura-1318744108141566/?fref=photo,BDA,BBMP,27626.999053500243463
Melinakere,114,K,3.02,12.8699882513865,77.64898120213761,192,Begur,Sri M Anjinappa,"#14, 3rd Block, 6th Cross, Vishwapriya Nagar Layout, Begur, Bengaluru-560068",9972585844,https://www.facebook.com/Two-lakes-of-Basapura-1318744108141566/?fref=photo,,BBMP,22343.231120939279208
Basavanapura Kere,115,H,2.48,12.8441481336515,77.5886477504728,192,Begur,Sri M Anjinappa,"#14, 3rd Block, 6th Cross, Vishwapriya Nagar Layout, Begur, Bengaluru-560068",9972585844,,BDA,BBMP,19304.825047950027511
Begur Lake,116,S,44.9,12.8774941579821,77.63270576894971,-na-,Outside BBMP limit,-na-,-na-,-na-,https://www.facebook.com/Save-Begur-Lake-387417384709385/,BDA,BBMP,462282.637828169157729
Bellandur Amanikere,117,K,314.92,12.927879104046,77.65066463422561,114,Agaram,Smt. Bhavya N,"#12, 2nd Cross, Maheshwaramma Temple Street, Dhoopnahalli, H A L 2nd Stage, Indiranagar, Bengaluru-560038",9845726671,"https://www.facebook.com/SaveBellandurLake/,
 https://www.facebook.com/groups/978408568847592/about ,
 https://www.facebook.com/CleanBellandurLake/",BDA,BBMP,3283665.743134654127061
Sowl kere,118,K,15,12.9157804945952,77.6806717081398,150,Bellanduru,Sri. Asha Suresh,"#29, H A L Quarters, Centre Township, Bengaluru-560037",,https://www.facebook.com/SowlKere/,,BBMP,184402.483892154676141
Bhoganahalli kere,119,K,5.81,12.9218131336417,77.6986043086718,150,Bellanduru,Sri. Asha Suresh,"#29, H A L Quarters, Centre Township, Bengaluru-560037",,,BDA,BBMP,36458.473005748412106
Melinakere,120,K,4.3,12.9789193606215,77.65605060042211,58,New Tippasandara,Smt. Shilpa Abhilasha,"#49/1, Sri Raya Temple Street, New Tippasandra, H.A.L, 3rd Stage, Bengaluru-560075",9481406267,,BDA,BDA,39286.660531445639208
Kelaginakere,121,K,4.5,12.9782733377162,77.6625017889851,58,New Tippasandara,Smt. Shilpa Abhilasha,"#49/1, Sri Raya Temple Street, New Tippasandra, H.A.L, 3rd Stage, Bengaluru-560075",9481406267,,BDA,BBMP,28450.216111894929782
Byrasandra Kere,122,K,5.67,12.9295505905251,77.59486796590041,153,Jayanagar,Smt. Gangambika,"#210/9, 7th main road, Byrasandra, Jayanagar, Bangalore-11","9448063498, 9945584209","https://www.facebook.com/pages/category/Nature-Preserve/Lake-Byrasandra-Jayanagar-938903559651633/
 https://www.facebook.com/Byrasandrarestoration/",BDA,BDA,28694.741624563932419
Swarna Kunte Gudde Lake,123,K,2.6,12.8623280711127,77.60685508391749,192,Begur,Sri M Anjinappa,"#14, 3rd Block, 6th Cross, Vishwapriya Nagar Layout, Begur, Bengaluru-560068",9972585844,,,BBMP,21124.365464235193940
Chikkabegur kere,124,K,11.95,12.8832838643463,77.6341652257717,192,Begur,Sri M Anjinappa,"#14, 3rd Block, 6th Cross, Vishwapriya Nagar Layout, Begur, Bengaluru-560068",9972585844,,BDA,BBMP,97080.327837295830250
Chikkabellanduru kere,125,K,21.67,12.9158691709439,77.7186423405181,149,Varthuru,Smt. Puspha Manjunath B M,"#120, Near Govt School, Ballagere, Vathur Post, Bengaluru-560087",,https://www.facebook.com/savechikkabellandurlake/,BDA,BDA,201587.348215804668143
Chinnappanahalli  kere1,126,K,2.53,12.9671034869521,77.70731629530771,85,Dodda Nekkundi,Smt. Shwetha Vijaykumar,"#627, Hoodi Garden Thigalarapalya, Hoodi, Mahadevapura Post, Bengaluru-560048",9845272073,https://www.facebook.com/chinnalake/,BBMP,BBMP,25336.490649874671362
Chunchanaghatta Kere,127,K,4.79,12.8889421819915,77.57498286871611,195,Konankunte,Smt. S. Shashirekha Jayaram,"#28, Sri. Venkateshwara Nilaya, Muniswamappa Garden, Chunchagatta, Bangalore-62","9980050216, 9900150216",https://www.facebook.com/groups/1736196183325053/,BDA,BBMP,51799.150636738559115
Devarabisanahalli kere,128,K,5.44,12.9234478050028,77.687850480091,150,Bellanduru,Sri. Asha Suresh,"#29, H A L Quarters, Centre Township, Bengaluru-560037",,https://www.facebook.com/groups/DevarabisanahalliLake/,,BBMP,38615.487876923405565
Doddakanneli Gramadakere,129,K,8.38,12.9126825093304,77.6913314349264,150,Bellanduru,Sri. Asha Suresh,"#29, H A L Quarters, Centre Township, Bengaluru-560037",,"https://www.facebook.com/Save-Lakes-of-Sarjapura-335936306927487/
 https://www.facebook.com/groups/VoiceOfSarjapura",,BBMP,75124.832975386409089
Doddanekundi kere,130,K,43.09,12.9788078151869,77.686705748501,85,Dodda Nekkundi,Smt. Shwetha Vijaykumar,"#627, Hoodi Garden Thigalarapalya, Hoodi, Mahadevapura Post, Bengaluru-560048",9845272073,,BDA,BDA,401875.686188759980723
Elenahalli Lake,131,K,1.33,12.8659539957806,77.614214289641,192,Begur,Sri M Anjinappa,"#14, 3rd Block, 6th Cross, Vishwapriya Nagar Layout, Begur, Bengaluru-560068",9972585844,,BDA,BBMP,11830.043797413818538
Achanakere,132,K,1.21,12.9909729928863,77.69569650450831,82,Garudachar Playa,Sri. B N Nithish Purushotham,"#69, Manjunath Charn, Garudacharya Palya, Mahadevpura Post, Bengaluru-560082",9448474087,,BDA,BBMP,11578.092381434616982
"Yekkalagatta kere,Mahadevepura Kere",133,K,1.69,12.9859340594603,77.6975654402013,82,Garudachar Playa,Sri. B N Nithish Purushotham,"#69, Manjunath Charn, Garudacharya Palya, Mahadevpura Post, Bengaluru-560082",9448474087,,BDA,BBMP,15766.742221854103263
Gottigere Kere,134,K,9.93,12.8528840105791,77.59142753502719,194,Gottigere,Smt. Lalitha T Narayan,"#23, 1st Main Road, 1st Cross, Wilson Garden Housing Society, JP Nagara 7th Stage, Bengaluru-560078",9448 389737,https://www.facebook.com/SaveGottigereLake/,BDA,BBMP,105158.379990441841073
singasandra,135,V,2.79,12.8832036506595,77.64557154723251,191,Singasandra,Smt. V Shantha,"#671/2, Central Jail Road Left Side, 4th Cross, Channakeshava Nagara, Bengaluru-5600100",9008877422,,,BBMP,20590.819420286279637
Carmelarm,136,A,0.74,12.9177100768834,77.71035372780879,149,Varthuru,Smt. Puspha Manjunath B M,"#120, Near Govt School, Ballagere, Vathur Post, Bengaluru-560087",,,BDA,BDA,8340.047396210255101
Gunjuruplaya kere,137,K,14.27,12.9191165503396,77.7239224766369,149,Varthuru,Smt. Puspha Manjunath B M,"#120, Near Govt School, Ballagere, Vathur Post, Bengaluru-560087",,,BDA,BBMP,140352.332848048245069
Lakedew Appartment lake,138,K,9.18,12.8986567858856,77.66239161450549,150,Bellanduru,Sri. Asha Suresh,"#29, H A L Quarters, Centre Township, Bengaluru-560037",,https://www.facebook.com/HaralurLake/,BBMP,BBMP,86311.138555364217609
Hulimavu Kere,140,O,41.17,12.8662871774505,77.6032305354402,193,Arakere,Smt. Bhagyalakshmi Murali,"#6, Arakere Village, IIM Post, Bannerugatta Road, Bengaluru-560076",9980668899,https://www.facebook.com/Hulimavukere/,BDA,BBMP,391425.717096438165754
Ibbalur Govt. Lake,141,H,5.79,12.9228884374539,77.6657159385891,174,HSR Layout,Sri. Gurumurthy Reddy,"#E-62, Agara Village, HSR Layout, Bengaluru-560002",9945890672,https://www.facebook.com/IblurEnvirons/,BDA,BBMP,22872.380311223969329
sarraki kere,142,V,25.86,12.9016949253242,77.58095404658241,186,Jaraganahalli,Smt. B M Shobha Muniram,"#61-1, Yelachenahalli, Kanakapura Main Road, Benagaluru-560078",9980830379,https://www.facebook.com/SarakkiLakeAreaImprovementTrustRegdslait/,BDA,BBMP,229964.265906690357951
Kaikondanahalli kere,145,O,13.97,12.9124519241906,77.6706997413629,150,Bellanduru,Sri. Asha Suresh,"#29, H A L Quarters, Centre Township, Bengaluru-560037",,"https://www.facebook.com/KaikondrahalliLake/
 https://www.facebook.com/pages/category/Community/Save-Sarjapur-Lake-Kaikondrahalli-Lake-495657817305310/",BBMP,BBMP,162167.093424996361136
Kalena Agrahara Govt. Lake,146,A,1.28,12.8658717417436,77.5892812800397,192,Begur,Sri M Anjinappa,"#14, 3rd Block, 6th Cross, Vishwapriya Nagar Layout, Begur, Bengaluru-560068",9972585844,,BDA,BBMP,14622.983543566515436
meenakshi lake,147,K,1.23,12.8540689325973,77.6035713448329,-na-,Outside BBMP limit,-na-,-na-,-na-,,BDA,BDA,53937.854436079040170
Kasavanahalli kere,148,A,11.5,12.9062313831029,77.6664695196085,150,Bellanduru,Sri. Asha Suresh,"#29, H A L Quarters, Centre Township, Bengaluru-560037",Information not available,facebook.com/kasavanahalli.kere/,BBMP,BBMP,127692.375467830803245
Kodagi Singasandra kere,149,H,2.67,12.8797311558682,77.64197265397971,191,Singasandra,Smt. V Shantha,"#671/2, Central Jail Road Left Side, 4th Cross, Channakeshava Nagara, Bengaluru-5600100",9008877422,,,BBMP,29420.479340393852908
doddakodlu,150,K,12.85,12.886220564366,77.6661246729724,191,Singasandra,Smt. V Shantha,"#671/2, Central Jail Road Left Side, 4th Cross, Channakeshava Nagara, Bengaluru-5600100",9008877422,https://www.facebook.com/pages/Doddakudlu-Lake/283924985350049,BBMP,BBMP,138604.176428435370326
Konanakunte  kere,151,V,2.88,12.8924608123687,77.5686418016639,197,Vasanthpura,Smt. Shobha Gowda,"#16/72/2, Chikkalsandra main Road, Subramanyapura Post, Bengaluru-560061",9901229225,,BDA,BBMP,26544.736662003910169
Kothanaru Kere,152,H,6.14,12.873519413551,77.5802063677276,194,Gottigere,Smt. Lalitha T Narayan,"#23, 1st Main Road, 1st Cross, Wilson Garden Housing Society, JP Nagara 7th Stage, Bengaluru-560078",9448 389737,,176 - Bangalore South,BBMP,47802.019920965773053
Kundalahalli kere,153,S,11.67,12.971837799076,77.72033110385981,85,Dodda Nekkundi,Smt. Shwetha Vijaykumar,"#627, Hoodi Garden Thigalarapalya, Hoodi, Mahadevapura Post, Bengaluru-560048",9845272073,,BBMP,BBMP,71258.492122320167255
Somasundrapalya lake,154,O,2.42,12.8992195681428,77.647410618327,190,Mangammanapalya,Smt. Shobha Jagadish Gowda,"#660, Krishnappa Layout, Ramanna Layout, Mangammana Palya, Bengaluru-560068",9448 388585,https://www.facebook.com/OurSomasundaraPalayaLake/,,BBMP,28662.723396826098906
Lalbagh kere,155,H,13.28,12.9450578393797,77.5815219847581,143,Vishveshwara Puram,Smt. Vani V Rao,"#15/38, Devaki Nandana Nilaya, Venkatappa Street, Chikka Mavali, Bengaluru-56004","9886456012, 080-26571147",,,HD,139020.807131830486469
