Name_of_Th,UniqueID,Valley,Area,Latitude,Longitude,Ward_Numbe,Ward_Name,Ward_Couns,Ward_offic,Ward_Conta,Facebook,New_Custod,Custodian,Aream3
Infrastructure Corridor,184,K,3.79,12.8585304274427,77.6171920136228,192,Begur,Sri M Anjinappa,"#14, 3rd Block, 6th Cross, Vishwapriya Nagar Layout, Begur, Bengaluru-560068",9972585844,,BDA,BDA,37732.956882329832297
Chellaghatta kere,186,K,45.9 (GLOF LINKS),12.9535001685802,77.6444243465138,113,Konena Agrahara,Sri. M. Chandrappa Reddy,"#125/1, Konena Agrahara, H.A.L, Bangalore-17",9845273901,,,,456940.379052974923979
Mestripalya lake,188,A,5.14,12.9314014910868,77.6257690234289,151,Koramangala,Sri. M Chandrappa,"#88/1, Near Hanuman Temple, Kormangala, Bengaluru-560095","9845059499, 9900797998",,BDA,BDA,24958.579061233671382
Gramadakere,197,K,20.83,12.9179920769039,77.7382182888646,149,Varthuru,Smt. Puspha Manjunath B M,"#120, Near Govt School, Ballagere, Vathur Post, Bengaluru-560087",,,BDA,BBMP,208263.727620639838278
Abbigere Kere,270,H,13.98,13.0812694986597,77.5293887713373,12,Shettihalli,Sri. Nagabhushan K,"#2, Sri Venkateshwara Nilaya, Abhigere Layout, Abhigere, Chikkabanavara Post, Bengaluru-560090",9845019093,,BDA,BBMP,130356.031385260634124
Andhrahalli Lake,271,V,5.14,13.0115571567066,77.4871510572578,40,Dodda Bidarakallu,Sri. Vasudeva S,"#45, Near Hanuman Temple, Andrahalli Bengaluru-560091",9916829382,,BBMP,BBMP,39750.804359120782465
Bagalagunte Govt.Lake,272,V,4.5,13.0594844945234,77.4984375217764,14,Bagalakunte,Sri. K Narasimha Nayak,"#554, LIG 1st Phase, 9th B Cross, 'B' Sector, Yelahanka Upanagar, Bengaluru-560064",9535097405,,,ZP,29827.085665780818090
Beratena Agrahara Lake,273,K,4.53,12.8665652891188,77.65980977029081,192,Begur,Sri M Anjinappa,"#14, 3rd Block, 6th Cross, Vishwapriya Nagar Layout, Begur, Bengaluru-560068",9972585844,,BDA,BBMP,32784.200169672607444
Dasarahalli kere,274,V,8.09,13.0415749995648,77.5130027732061,39,Chokkasandra,Smt. Sarvamangala,"#289, Narayanamma Building, Chokkasandra, T Dasarahalli, Bengaluru-560057",9980106222,,BBMP,BBMP,46218.939182291425823
Doddabidarakallu lake,275,V,13.46,13.0434709258213,77.4933558504687,39,Chokkasandra,Smt. Sarvamangala,"#289, Narayanamma Building, Chokkasandra, T Dasarahalli, Bengaluru-560057",9980106222,,BDA,BBMP,118987.904278787667863
Herohalli Lake,276,H,11.18,12.9872251416965,77.48920223013459,72,Herohalli,Sri. Rajanna,"#18, Magadi Main Road, Hosahalli Gollarapalya, Vishwanidam Post, Bengaluru-560091",9741335250,,BBMP,BBMP,93951.954621038923506
Kammagondanahalli lake,278,V,13.23,13.0672579272533,77.52223743558029,12,Shettihalli,Sri. Nagabhushan K,"#2, Sri Venkateshwara Nilaya, Abhigere Layout, Abhigere, Chikkabanavara Post, Bengaluru-560090",9845019093,,BBMP,BBMP,70890.483633002266288
Handrahalli kere,279,V,1.49,13.002986300585,77.4828210143813,40,Dodda Bidarakallu,Sri. Vasudeva S,"#45, Near Hanuman Temple, Andrahalli Bengaluru-560091",9916829382,,BBMP,BBMP,14691.566960059108169
Mallasandra Gudde lake,280,H,2.88,13.0581597351832,77.51734556505571,13,Mallasandra,Sri. Lokesh N,"Sri Ammaji Residency, 8th Cross, Kalyan Nagar, T Dasarahalli, Bengaluru-560057",9611921030,,BDA,BDA,16443.593231135513633
Mallasandra Lake-2,281,A,1.38,13.0567687051912,77.51913049670721,12,Shettihalli,Sri. Nagabhushan K,"#2, Sri Venkateshwara Nilaya, Abhigere Layout, Abhigere, Chikkabanavara Post, Bengaluru-560090",9845019093,,,BDA,13964.535453759715892
Narasappanahalli kere,282,O,19.16,13.0217806350982,77.49383287613119,41,Peenya Industrial Area,Smt. Lalitha Thimananjaiah K.L.R,"#9, Laggere Main Road, Parvathi Nagar, Bengaluru-560058",9900118099,,BDA,BBMP,172902.074463690107223
Valagere,283,K,7.32,13.022913027405,77.5081908417434,41,Peenya Industrial Area,Smt. Lalitha Thimananjaiah K.L.R,"#9, Laggere Main Road, Parvathi Nagar, Bengaluru-560058",9900118099,,,BDA,60960.375197439949261
Shivapura New tank,284,A,1.84,13.0272817176311,77.5044515317549,41,Peenya Industrial Area,Smt. Lalitha Thimananjaiah K.L.R,"#9, Laggere Main Road, Parvathi Nagar, Bengaluru-560058",9900118099,,BDA,BDA,17666.723800770938396
Dodda bettahalli,285,H,1.7,13.0912980003191,77.5551969953011,3,Atturu,Smt.Nethrapallavi M,"#722, Shashwatha Nilaya, 7th cross A Sector, Yelahanka Upanagara, Bengaluru-560064",9880688949,,BDA,BDA,28888.726686112815514
Singapura lake,290,H,11.12,13.0833427019196,77.53313331967949,11,Kuvempu Nagar,Smt. V V Prathibha Rajan,"#92, 2nd Main, 5th Cross, Varadaraja Nagar, Bengaluru-560097","9880609525, 88925 31369",,BDA,BBMP,90908.250317992409691
Doddebele,359,,,12.8913058420626,77.4844409049888,,,,,,,,,106828.326648289803416
Somapura,360,,,12.8811951835667,77.49167776530859,,,,,,,,,47819.084972094744444
Mailasandra,361,,,12.9157977372906,77.4878727419933,,,,,,,,,85127.588838644311181
Kengeri 1,362,,,12.9082779767273,77.4920208959837,,,,,,,,,39980.120316362939775
Kengeri 2,363,,,12.905898339177,77.4970156820512,,,,,,,,,45807.305870880605653
Chenvinayanahalli,366,,,12.8757843760473,77.48309209646111,,,,,,,,,60280.822465413613827
Annamma kere,597,,,12.9000543726191,77.565171669729,,,,,,,,,17578.989673773176037
Deevatigeramnahalli kere,598,,,12.9486660700454,77.5313954844359,,,,,,,,,14125.095192568740458
Devarakere,599,,,12.8975319781903,77.5548705634092,,,,,,,,,15203.245358858723193
Doraikere,600,,,12.9038252777187,77.5492753808882,,,,,,,,,96790.841779695576406
Goudanakere,601,,,12.9075005257854,77.5551310327386,,,,,,,,,16080.531090848613530
Gubbalal kere,603,,,12.8807876145028,77.5401199924115,,,,,,,,,21556.140657276642742
Halagevaderahalli kere-2,605,,,12.9255415285371,77.5147718581461,,,,,,,,,23526.475525015030144
Herohalli Thotadakere,606,,,12.982487793447,77.49194645809381,,,,,,,,,9933.832942792214453
Hosakerehalli Kere,607,,,12.9277712823089,77.5318006553449,,,,,,,,,222486.475881728343666
Kempambudhi lake,611,,,12.9503370303707,77.55845391602899,,,,,,,,,77442.559735898626968
Laggeri Lake,614,,,13.0097414618539,77.51437515136671,,,,,,,,,12991.057385341846384
Mallathahalli Lake,616,,,12.9674833135156,77.49567124619701,,,,,,,,,212391.323513152659871
Moge kere,617,,,12.908025641558,77.5402135565508,,,,,,,,,40314.482098064385355
Muppatu Kavalu Hosa Kere,618,,,12.9264935460499,77.4798470715172,,,,,,,,,53459.656848017475568
Nayandanahalli kere,621,,,12.9398879989534,77.5222840978152,,,,,,,,,39406.259189859149046
Sankey Tank,622,,,13.0116648945617,77.57435438198,,,,,,,,,137548.272796016419306
Subramhanyapura kere,623,,,12.8946484968231,77.5425780580196,,,,,,,,,42061.037300006544683
Ullalu lake-2,624,,,12.9599823654482,77.48079150887411,,,,,,,,,97503.091452356398804
Valagerehalli kere,625,,,12.9322589583828,77.4951897941061,,,,,,,,,41761.387046001851559
Yediyur kere,626,,,12.9342068913904,77.5756000427416,,,,,,,,,39826.227529684198089
Bhimmanakuppe Govt lake,627,,,12.9146884522358,77.52858238732721,,,,,,,,,3374.648745680095089
Srigandhakavalu Karabu Katte,628,,,12.9843879663249,77.5002392312303,,,,,,,,,9110.791401738617424
Janaradhan kere,633,,,12.8915316015203,77.5565944714434,,,,,,,,,18747.379669574555010
Konashetty kere,637,,,12.8713408919793,77.51362630991839,,,,,,,,,41076.711272058622853
Nagarabhavi (Un-named Lake on map),642,,,12.9643652077328,77.50849303116691,,,,,,,,,14485.946978057385422
Sompura Govt.lake,645,,,12.8752946774489,77.497405734805,,,,,,,,,64321.463195430114865
Lakshmipura Lake,1231,,,13.0851817943245,77.537799284111,,,,,,,,,34375.464376108138822
Amrutnagar Lake,1414,,,12.8488980097885,77.5588381385132,,,,,,,,,35677.119682729477063
Hoysalanagara Lake,1474,,,12.986804404342,77.6376135920413,,,,,,,,,13545.736493290634826
Basavanagar Lake,1486,,,12.9848798637511,77.7136607559858,,,,,,,,,22668.735990222252440
Kannuru kere,69,H,,13.0978963367146,77.6524013856443,-na-,Outside BBMP limit,-na-,-na-,-na-,https://www.facebook.com/kannamangalalake.forcegw.community?fref=search&__tn__=%2Cd%2CP-R&eid=ARB6uEReskDoAFaI4chbyTfdCGp3UpTvTKYYw2ShHsE-WVgOGZHyH5xWam0_Om0el27j6bwYtmBjShpv,,,
Kannuru kere,69,H,,13.0978963367146,77.6524013856443,-na-,Outside BBMP limit,-na-,-na-,-na-,https://www.facebook.com/kannamangalalake.forcegw.community?fref=search&__tn__=%2Cd%2CP-R&eid=ARB6uEReskDoAFaI4chbyTfdCGp3UpTvTKYYw2ShHsE-WVgOGZHyH5xWam0_Om0el27j6bwYtmBjShpv,,,206759.095999999990454
Ajjegowdana katte,643,,,12.9835384534816,77.4666591009557,,,,,,,,,
Chikkabanavara kere,295,H,35.44,13.078643653802,77.5089383969088,12,Shettihalli,Sri. Nagabhushan K,"#2, Sri Venkateshwara Nilaya, Abhigere Layout, Abhigere, Chikkabanavara Post, Bengaluru-560090",9845019093,https://www.facebook.com/chikkabanavara.savelake.5,BDA,BDA,
Doddagubbi kere,88,H,,13.0761290857594,77.66981155535611,-na-,Outside BBMP limit,-na-,-na-,-na-,,,,
Kodigehalli kere,613,,,12.9763168643915,77.4672204412292,,,,,,,,,
Kommaghatta Govt. Lake,653,,,12.9297401899999,77.4654616009973,,,,,,,,,
Manganahalli Lake,1500,,,12.9476348332022,77.46105757916121,,,,,,,,,
Mylasandra Dodda Agrahara kere,198,K,7.86,12.8587690647688,77.6227776740682,192,Begur,Sri M Anjinappa,"#14, 3rd Block, 6th Cross, Vishwapriya Nagar Layout, Begur, Bengaluru-560068",9972585844,https://www.facebook.com/Save-Mylasandra-Lake-878155022521698/,,,
Suggata kere,80,V,,13.144810675831,77.605796305467,-na-,Outside BBMP limit,-na-,-na-,-na-,,,,13033.559249359939713
